Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,61450.0,58800.0,55000.0,37800.0,55300.0,48800.0,46200.0,43900.0,25000.0,50000.0
Bolivia,3106.0,3205.0,2671.0,2942.0,2991.0,2829.0,3318.0,3457.0,3650.0,3400.0
Brazil,97100.0,95700.0,114900.0,123400.0,120500.0,128500.0,139500.0,130500.0,160000.0,157000.0
Canada,6045.0,6456.0,6597.0,7717.0,7417.0,6145.0,6359.0,6224.0,6543.0,6981.0
China,12686.0,12367.0,13596.0,15283.0,15967.0,18092.0,19602.0,16395.0,20284.0,20840.0
European Union,1839.0,2332.0,2465.0,2619.0,2737.0,2711.0,2600.0,2833.0,2549.0,3060.0
India,8711.0,6929.0,10992.0,8350.0,10930.0,9300.0,10456.0,11889.0,12411.0,11000.0
Paraguay,8404.0,9295.0,10032.0,9906.0,8844.0,10553.0,9642.0,4183.0,9750.0,10300.0
Russia,2362.0,2707.0,3134.0,3621.0,4027.0,4359.0,4307.0,4760.0,5996.0,6800.0
Ukraine,3900.0,3932.0,4286.0,3985.0,4831.0,4499.0,3000.0,3800.0,4100.0,5200.0
United States,106905.0,106869.0,116931.0,120065.0,120515.0,96644.0,114749.0,121504.0,116221.0,113344.0
Uruguay,3394.0,2256.0,3688.0,1427.0,3045.0,2330.0,1997.0,3233.0,700.0,2900.0
WORLD,321514.0,316137.0,350878.0,343822.0,363513.0,341430.0,369222.0,360410.0,375397.0,398976.0
