Commodity/Category,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Copra,6051.0,6029.0,6066.0,5775.0,5924.0,6060.0,5939.0,5455.0,5128.0,5316.0,0.0
Cottonseed,41538.0,42678.0,41505.0,42053.0,43445.0,41961.0,44700.0,39154.0,36380.0,44671.0,0.0
Palm Kernel,20506.0,19870.0,19137.0,19091.0,19357.0,19497.0,18718.0,17395.0,15882.0,16549.0,0.0
Peanut,50459.0,49383.0,51967.0,50487.0,47747.0,46676.0,46925.0,45878.0,41261.0,41776.0,0.0
Rapeseed,87103.0,88787.0,75829.0,74737.0,70321.0,73480.0,75797.0,70165.0,69403.0,70990.0,0.0
Soybean,398976.0,375397.0,360410.0,369222.0,341430.0,363513.0,343822.0,350878.0,316137.0,321514.0,0.0
Sunflowerseed,55544.0,52388.0,56856.0,48833.0,53796.0,50324.0,47935.0,48330.0,40699.0,39249.0,0.0
OILSEEDS,660177.0,634532.0,611770.0,610198.0,582020.0,601511.0,583836.0,577255.0,524890.0,540065.0,0.0
Soybean Meal,258592.0,246819.0,246752.0,248351.0,245604.0,234329.0,232832.0,226358.0,216406.0,208685.0,0.0
Copra Meal,1973.0,1953.0,1966.0,1903.0,1910.0,1998.0,1948.0,1785.0,1702.0,1747.0,0.0
Cottonseed Meal,15055.0,14964.0,14778.0,14910.0,15313.0,14457.0,15190.0,13251.0,13163.0,15423.0,0.0
Palm Kernel Meal,10647.0,10336.0,9858.0,9977.0,10144.0,10085.0,9675.0,8929.0,8217.0,8525.0,0.0
Peanut Meal,7764.0,7701.0,7892.0,7840.0,7616.0,7194.0,7202.0,6987.0,6611.0,6569.0,0.0
Rapeseed Meal,47776.0,47021.0,42149.0,41521.0,39812.0,39559.0,39681.0,39102.0,38882.0,38985.0,0.0
Sunflowerseed Meal,23122.0,23053.0,21157.0,20200.0,21766.0,20933.0,20007.0,19491.0,16537.0,16173.0,0.0
Fish Meal,4917.0,4782.0,5009.0,4891.0,4650.0,4769.0,4802.0,4880.0,4505.0,4685.0,0.0
PROTEIN MEALS,369846.0,356629.0,349561.0,349593.0,346815.0,333324.0,331337.0,320783.0,306023.0,300792.0,0.0
Palm Oil,79464.0,77563.0,72964.0,73277.0,73111.0,74165.0,70511.0,65571.0,58746.0,62090.0,0.0
Soybean Oil,61912.0,59121.0,59271.0,59314.0,58551.0,56145.0,55294.0,53947.0,51654.0,49362.0,0.0
Rapeseed Oil,33292.0,32636.0,29240.0,29355.0,28336.0,28019.0,28330.0,27813.0,27567.0,27621.0,0.0
Sunflowerseed Oil,21804.0,21681.0,19620.0,18967.0,21149.0,19588.0,18569.0,18293.0,15403.0,14968.0,0.0
Palm Kernel Oil,9029.0,8792.0,8362.0,8427.0,8508.0,8566.0,8226.0,7610.0,6965.0,7285.0,0.0
Peanut Oil,6329.0,6286.0,6441.0,6374.0,6181.0,5842.0,5849.0,5680.0,5391.0,5359.0,0.0
Cottonseed Oil,4942.0,4905.0,4847.0,4878.0,5019.0,4743.0,5006.0,4377.0,4332.0,5098.0,0.0
Coconut Oil,3758.0,3709.0,3733.0,3584.0,3614.0,3786.0,3692.0,3378.0,3202.0,3306.0,0.0
Olive Oil,2504.0,2486.0,3306.0,2927.0,3153.0,3160.0,3285.0,2494.0,3119.0,2406.0,0.0
VEGETABLE OILS,223034.0,217179.0,207784.0,207103.0,207622.0,204014.0,198762.0,189163.0,176379.0,177495.0,0.0
