AttributeDescription,UnitDescription
Area Harvested,(1000 HA)
Area Harvested (Cotton),(1000 HA)
Area Planted,(1000 HA)
Area Planted (Cotton),(1000 HA)
Beginning Stocks,(1000 MT)
CY Exp. to U.S.,(1000 MT)
CY Exports,(1000 MT)
CY Imp. from U.S.,(1000 MT)
CY Imports,(1000 MT)
Catch For Reduction,(1000 MT)
Crush,(1000 MT)
Ending Stocks,(1000 MT)
"Extr. Rate, 999.9999",(PERCENT)
FSI Consumption,(1000 MT)
Feed Waste Dom. Cons.,(1000 MT)
Feed and Residual,(1000 MT)
Food Use Dom. Cons.,(1000 MT)
Industrial Dom. Cons.,(1000 MT)
MY Exp. to EU,(1000 MT)
MY Exports,(1000 MT)
MY Imp. from EU,(1000 MT)
MY Imp. from U.S.,(1000 MT)
MY Imports,(1000 MT)
Production,(1000 MT)
SME,(1000 MT)
Seed to Lint Ratio,(RATIO)
TY Exports,(1000 MT)
TY Imp. from U.S.,(1000 MT)
TY Imports,(1000 MT)
Total Consumption,(1000 MT)
Total Distribution,(1000 MT)
Total Dom. Cons.,(1000 MT)
Total Supply,(1000 MT)
Trees,(1000 TREES)
Yield,(MT/HA)
